Campaign,Ad Group,Keyword,Criterion Type
SEM_Instructors,Hugo Bowne-Anderson,hugo bowne-anderson course,Exact
SEM_Instructors,Hugo Bowne-Anderson,hugo bowne-anderson course,Phrase
SEM_Instructors,Hugo Bowne-Anderson,+hugo +bowne-anderson +course,Broad
SEM_Instructors,Hugo Bowne-Anderson,hugo bowne-anderson courses,Exact
SEM_Instructors,Hugo Bowne-Anderson,hugo bowne-anderson courses,Phrase
SEM_Instructors,Hugo Bowne-Anderson,+hugo +bowne-anderson +courses,Broad
SEM_Instructors,Hugo Bowne-Anderson,hugo bowne-anderson learn,Exact
SEM_Instructors,Hugo Bowne-Anderson,hugo bowne-anderson learn,Phrase
SEM_Instructors,Hugo Bowne-Anderson,+hugo +bowne-anderson +learn,Broad
SEM_Instructors,Hugo Bowne-Anderson,hugo bowne-anderson data science,Exact
SEM_Instructors,Hugo Bowne-Anderson,hugo bowne-anderson data science,Phrase
SEM_Instructors,Hugo Bowne-Anderson,+hugo +bowne-anderson +data science,Broad
SEM_Instructors,Hugo Bowne-Anderson,hugo bowne-anderson data camp,Exact
SEM_Instructors,Hugo Bowne-Anderson,hugo bowne-anderson data camp,Phrase
SEM_Instructors,Hugo Bowne-Anderson,+hugo +bowne-anderson +data camp,Broad
SEM_Instructors,Hugo Bowne-Anderson,hugo bowne-anderson datacamp,Exact
SEM_Instructors,Hugo Bowne-Anderson,hugo bowne-anderson datacamp,Phrase
SEM_Instructors,Hugo Bowne-Anderson,+hugo +bowne-anderson +datacamp,Broad
SEM_Instructors,Izzy Weber,izzy weber course,Exact
SEM_Instructors,Izzy Weber,izzy weber course,Phrase
SEM_Instructors,Izzy Weber,+izzy +weber +course,Broad
SEM_Instructors,Izzy Weber,izzy weber courses,Exact
SEM_Instructors,Izzy Weber,izzy weber courses,Phrase
SEM_Instructors,Izzy Weber,+izzy +weber +courses,Broad
SEM_Instructors,Izzy Weber,izzy weber learn,Exact
SEM_Instructors,Izzy Weber,izzy weber learn,Phrase
SEM_Instructors,Izzy Weber,+izzy +weber +learn,Broad
SEM_Instructors,Izzy Weber,izzy weber data science,Exact
SEM_Instructors,Izzy Weber,izzy weber data science,Phrase
SEM_Instructors,Izzy Weber,+izzy +weber +data science,Broad
SEM_Instructors,Izzy Weber,izzy weber data camp,Exact
SEM_Instructors,Izzy Weber,izzy weber data camp,Phrase
