"business_area_name","region_name","barr_date","revenue"
"B00 - Services","China","2022-03-01",133710.082508
"A00 - Equipment","China","2022-03-01",1727395.036234
"B00 - Services","North America","2022-03-01",1443343.928369
"B00 - Services","Eurasia","2022-03-01",2849355.0966999996
"F00 - GCCT","EMEA","2022-03-01",1229530.4076999999
"F00 - GCCT","Latin America","2022-03-01",655984.748765
"B00 - Services","Latin America","2022-03-01",2245158.167562
"F00 - GCCT","India","2022-03-01",2059638.860685
"A00 - Equipment","India","2022-03-01",2115955.799083
"B00 - Services","EMEA","2022-03-01",2918181.6113680005
"F00 - GCCT","Eurasia","2022-03-01",7735.076499999999
"B00 - Services","APAC","2022-03-01",4198146.688792
"A00 - Equipment","EMEA","2022-03-01",1390599.3394550001
"F00 - GCCT","APAC","2022-03-01",2984928.4083330003
"F00 - GCCT","North America","2022-03-01",912842.549851
"A00 - Equipment","Eurasia","2022-03-01",944058.0574999999
"A00 - Equipment","Latin America","2022-03-01",1901961.599402
"A00 - Equipment","North America","2022-03-01",2398040.295266
"X00 - Other","EMEA","2022-03-01",0
"B00 - Services","India","2022-03-01",3020141.028675999
"A00 - Equipment","APAC","2022-03-01",3477731.5445520007
"F00 - GCCT","APAC","2022-02-01",4224691.293779001
"F00 - GCCT","India","2022-02-01",3011431.1365300003
"B00 - Services","Latin America","2022-02-01",1920262.6807490003
"X00 - Other","EMEA","2022-02-01",633.56
"F00 - GCCT","Eurasia","2022-02-01",309958.8073
"A00 - Equipment","Latin America","2022-02-01",1462954.0783079998
"B00 - Services","China","2022-02-01",230302.090446
"B00 - Services","Eurasia","2022-02-01",2195396.8961
"B00 - Services","North America","2022-02-01",2735909.9685659995
"A00 - Equipment","China","2022-02-01",1609199.01
"A00 - Equipment","India","2022-02-01",4889640.4472199995
"A00 - Equipment","Eurasia","2022-02-01",1689889.9467
"B00 - Services","India","2022-02-01",5345621.859188001
"A00 - Equipment","EMEA","2022-02-01",676200
"A00 - Equipment","APAC","2022-02-01",3843317.750392
"B00 - Services","APAC","2022-02-01",7316638.046710001
"B00 - Services","EMEA","2022-02-01",3231721.7447999995
"Consolidated","Global","2022-02-01",33058670.952309
"F00 - GCCT","Latin America","2022-02-01",639773.5354840001
"X00 - Other","North America","2022-02-01",-697.5842
"F00 - GCCT","EMEA","2022-02-01",1273378.8435
"F00 - GCCT","North America","2022-02-01",1615628.194916
"A00 - Equipment","North America","2022-01-01",2268163.655648
"F00 - GCCT","Latin America","2022-01-01",477005.17234399996
"B00 - Services","Latin America","2022-01-01",1978343.251997
"F00 - GCCT","North America","2022-01-01",1381785.517124
"B00 - Services","China","2022-01-01",336987.736672
"F00 - GCCT","India","2022-01-01",1789269.3429389999
"F00 - GCCT","Eurasia","2022-01-01",174459.2044
"B00 - Services","APAC","2022-01-01",3313374.124352999
"X00 - Other","EMEA","2022-01-01",46.67999999999999
"B00 - Services","Eurasia","2022-01-01",2095505.5403000002
"A00 - Equipment","APAC","2022-01-01",2807581.2365220003
"A00 - Equipment","Eurasia","2022-01-01",345846.078
"X00 - Other","APAC","2022-01-01",-103.151553
"F00 - GCCT","APAC","2022-01-01",2041718.985191
"A00 - Equipment","Latin America","2022-01-01",1401348.331266
"B00 - Services","India","2022-01-01",3732065.957347001
"A00 - Equipment","EMEA","2022-01-01",1392647.2536
"B00 - Services","EMEA","2022-01-01",1954623.4060999996
"F00 - GCCT","EMEA","2022-01-01",1021224.7245
"A00 - Equipment","India","2022-01-01",1939652.467299
"B00 - Services","North America","2022-01-01",2013109.0676720003
"Consolidated","Global","2022-01-01",27663384.489592
"A00 - Equipment","China","2021-12-01",491961.074047
"B00 - Services","India","2021-12-01",2696303.6607689997
"F00 - GCCT","APAC","2021-12-01",3427575.672779
"F00 - GCCT","North America","2021-12-01",786502.646345
"B00 - Services","North America","2021-12-01",1089196.768124
"A00 - Equipment","APAC","2021-12-01",1908537.473843
"F00 - GCCT","Eurasia","2021-12-01",208724.1591
"A00 - Equipment","India","2021-12-01",6308381.001375
"X00 - Other","EMEA","2021-12-01",0.1599999999999726
"A00 - Equipment","Latin America","2021-12-01",2671424.948324
"F00 - GCCT","Latin America","2021-12-01",730807.943094
"F00 - GCCT","India","2021-12-01",1484517.218315
"Consolidated","Global","2021-12-01",37850201.35
"F00 - GCCT","China","2021-12-01",0
"A00 - Equipment","EMEA","2021-12-01",5716737.875399999
"F00 - GCCT","EMEA","2021-12-01",1518225.6874
"B00 - Services","Eurasia","2021-12-01",3155248.7925
"A00 - Equipment","Eurasia","2021-12-01",2645517.6719
"B00 - Services","China","2021-12-01",771335.96788
"B00 - Services","EMEA","2021-12-01",2148126.8793519996
"A00 - Equipment","North America","2021-12-01",5446.699999999999
"B00 - Services","APAC","2021-12-01",3715460.581739
"X00 - Other","APAC","2021-12-01",3.59
"B00 - Services","Latin America","2021-12-01",1957781.8422759997
"F00 - GCCT","Eurasia","2021-11-01",26147.634400000003
"B00 - Services","APAC","2021-11-01",3537442.30354
"A00 - Equipment","China","2021-11-01",1227889.68
"X00 - Other","EMEA","2021-11-01",-1.9435760000000926
"B00 - Services","North America","2021-11-01",1155321.8477230002
"A00 - Equipment","North America","2021-11-01",645995.0294329999
"B00 - Services","Eurasia","2021-11-01",2575192.3726
"F00 - GCCT","North America","2021-11-01",809068.168306
"A00 - Equipment","APAC","2021-11-01",2973208.179227
"B00 - Services","Latin America","2021-11-01",2295496.86523
"F00 - GCCT","India","2021-11-01",1201275.353791
"Consolidated","Global","2021-11-01",39042228.854929
"B00 - Services","China","2021-11-01",414124.87980399997
"A00 - Equipment","EMEA","2021-11-01",1515948.1071
"F00 - GCCT","APAC","2021-11-01",3175048.165460999
"F00 - GCCT","Latin America","2021-11-01",727242.030989
"B00 - Services","India","2021-11-01",3347397.6959800003
"F00 - GCCT","EMEA","2021-11-01",872556.033
