,DateTime,Country,Mining_GDP_BUSD,Base_Date,Base_Mining_GDP,OilEquivalentMUSD,OilShare,LastUpdate,Orig_Fcst,Mining_GDP_BUSD_forecasted,Mining_GDP_BUSD_part_fcst,Mining_GDP_BUSD_full_fcst,Region 2,Regional 3,Fin Region,Sales Area
0,2007-03-31,Afghanistan,,2019-12-31,0.0773189302939743,0.0,,,Original,,,,Asia,Southern Asia,Asia/Pacific,EMEA
1,2007-06-30,Afghanistan,,2019-12-31,0.0773189302939743,0.0,,,Original,,,,Asia,Southern Asia,Asia/Pacific,EMEA
2,2007-09-30,Afghanistan,,2019-12-31,0.0773189302939743,0.0,,,Original,,,,Asia,Southern Asia,Asia/Pacific,EMEA
3,2007-12-31,Afghanistan,,2019-12-31,0.0773189302939743,0.0,,,Original,,,,Asia,Southern Asia,Asia/Pacific,EMEA
4,2008-03-31,Afghanistan,,2019-12-31,0.0773189302939743,0.0,,,Original,,,,Asia,Southern Asia,Asia/Pacific,EMEA
5,2008-06-30,Afghanistan,,2019-12-31,0.0773189302939743,0.0,,,Original,,,,Asia,Southern Asia,Asia/Pacific,EMEA
6,2008-09-30,Afghanistan,,2019-12-31,0.0773189302939743,0.0,,,Original,,,,Asia,Southern Asia,Asia/Pacific,EMEA
7,2008-12-31,Afghanistan,,2019-12-31,0.0773189302939743,0.0,,,Original,,,,Asia,Southern Asia,Asia/Pacific,EMEA
8,2009-03-31,Afghanistan,,2019-12-31,0.0773189302939743,0.0,,,Original,,,,Asia,Southern Asia,Asia/Pacific,EMEA
9,2009-06-30,Afghanistan,,2019-12-31,0.0773189302939743,0.0,,,Original,,,,Asia,Southern Asia,Asia/Pacific,EMEA
10,2009-09-30,Afghanistan,,2019-12-31,0.0773189302939743,0.0,,,Original,,,,Asia,Southern Asia,Asia/Pacific,EMEA
11,2009-12-31,Afghanistan,,2019-12-31,0.0773189302939743,0.0,,,Original,,,,Asia,Southern Asia,Asia/Pacific,EMEA
12,2010-03-31,Afghanistan,0.0117280370934828,2019-12-31,0.0773189302939743,0.0,0.0,2018-04-23T17:09:00,Original,,,,Asia,Southern Asia,Asia/Pacific,EMEA
13,2010-06-30,Afghanistan,0.0117280370934828,2019-12-31,0.0773189302939743,0.0,0.0,2018-04-23T17:09:00,Original,,,,Asia,Southern Asia,Asia/Pacific,EMEA
14,2010-09-30,Afghanistan,0.0117280370934828,2019-12-31,0.0773189302939743,0.0,0.0,2018-04-23T17:09:00,Original,,,,Asia,Southern Asia,Asia/Pacific,EMEA
15,2010-12-31,Afghanistan,0.0117280370934828,2019-12-31,0.0773189302939743,0.0,0.0,2018-04-23T17:09:00,Original,,,,Asia,Southern Asia,Asia/Pacific,EMEA
