"business_area_name","region_name","barr_date","revenue"
"Consolidated","Global","2013-01-01",15831000
"Consolidated","Global","2013-02-01",20037000
"Consolidated","Global","2013-03-01",20887000
"Consolidated","Global","2013-04-01",18493000
"Consolidated","Global","2013-05-01",17328000
"Consolidated","Global","2013-06-01",16442000
"Consolidated","Global","2013-07-01",18871000
"Consolidated","Global","2013-08-01",15763000
"Consolidated","Global","2013-09-01",15845000
"Consolidated","Global","2013-10-01",14464000
"Consolidated","Global","2013-11-01",12819000
"Consolidated","Global","2013-12-01",15143000
"Consolidated","Global","2014-01-01",13927000
"Consolidated","Global","2014-02-01",11782500
"Consolidated","Global","2014-03-01",12969500
"Consolidated","Global","2014-04-01",10532000
"Consolidated","Global","2014-05-01",17991000
"Consolidated","Global","2014-06-01",21255000
"Consolidated","Global","2014-07-01",11613000
"Consolidated","Global","2014-08-01",12142000
"Consolidated","Global","2014-09-01",17229000
"Consolidated","Global","2014-10-01",18740000
"Consolidated","Global","2014-11-01",16161000
"Consolidated","Global","2014-12-01",19538000
"Consolidated","Global","2015-01-01",11293184.4
"Consolidated","Global","2015-02-01",13122293.63
"Consolidated","Global","2015-03-01",18607213.43
"Consolidated","Global","2015-04-01",15152000
"Consolidated","Global","2015-05-01",13207000
"Consolidated","Global","2015-06-01",20061330.41
"Consolidated","Global","2015-07-01",14366000
"Consolidated","Global","2015-08-01",15745624
"Consolidated","Global","2015-09-01",15531000
"Consolidated","Global","2015-10-01",16251905.31
"Consolidated","Global","2015-11-01",19176000
"Consolidated","Global","2015-12-01",18157800
"Consolidated","Global","2016-01-01",11879570.67
"Consolidated","Global","2016-02-01",11856379.05
"Consolidated","Global","2016-03-01",19907492.47
"Consolidated","Global","2016-04-01",15845799.62
"Consolidated","Global","2016-05-01",16222562.31
"Consolidated","Global","2016-06-01",14723024.22
"Consolidated","Global","2016-07-01",14671568.5
"Consolidated","Global","2016-08-01",19047219.52
"Consolidated","Global","2016-09-01",16295035.54
"Consolidated","Global","2016-10-01",16219040
"Consolidated","Global","2016-11-01",17273978.46
"Consolidated","Global","2016-12-01",26947945.35
"A00 - Equipment","China","2017-01-01",373875.4675
"X00 - Other","EMEA","2017-01-01",15160.29
"A00 - Equipment","India","2017-01-01",1252216.0694
"F00 - GCCT","EMEA","2017-01-01",1306566.9427999998
"B00 - LTC","North America","2017-01-01",567793.73
"F00 - GCCT","Latin America","2017-01-01",383697.80120000005
"A00 - Equipment","EMEA","2017-01-01",-39904.71
"B00 - LTC","Eurasia","2017-01-01",1761772.4766999998
"Consolidated","Global","2017-01-01",17325135.7
"F00 - GCCT","Eurasia","2017-01-01",26827.236599999997
"B00 - LTC","Latin America","2017-01-01",1069308.4158
"F00 - GCCT","APAC","2017-01-01",1573939.2093999998
"B00 - LTC","APAC","2017-01-01",1246172.0618000003
"F00 - GCCT","China","2017-01-01",427.5373
"F00 - GCCT","India","2017-01-01",434595.5788
"A00 - Equipment","Latin America","2017-01-01",2117474.8499999996
"B00 - LTC","EMEA","2017-01-01",1036118.8953999999
"A00 - Equipment","APAC","2017-01-01",598637.23
"F00 - GCCT","North America","2017-01-01",607278.59
"B00 - LTC","India","2017-01-01",616272.6974
"A00 - Equipment","Eurasia","2017-01-01",1881584
