date,sales,sales_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2020-11-01,954211.2915,-27396.65049999999,-72044.55599999987,-48859.346000000136,-178957.54300000006,183669.1170000001,236469.95909999998,51685.024399999995,-48218.849699999904,-192977.34580000013,-135721.99,-96388.79799999995,81676.91599999997,-283241.86400000006
2020-10-01,814215.9188,-139995.37270000007,-27396.65049999999,-72044.55599999987,-48859.346000000136,-178957.54300000006,183669.1170000001,236469.95909999998,51685.024399999995,-48218.849699999904,-192977.34580000013,-135721.99,-96388.79799999995,81676.91599999997
2020-09-01,736039.4077,-78176.5111,-139995.37270000007,-27396.65049999999,-72044.55599999987,-48859.346000000136,-178957.54300000006,183669.1170000001,236469.95909999998,51685.024399999995,-48218.849699999904,-192977.34580000013,-135721.99,-96388.79799999995
2020-08-01,709306.0161,-26733.391599999974,-78176.5111,-139995.37270000007,-27396.65049999999,-72044.55599999987,-48859.346000000136,-178957.54300000006,183669.1170000001,236469.95909999998,51685.024399999995,-48218.849699999904,-192977.34580000013,-135721.99
2020-07-01,714395.027,5089.010899999994,-26733.391599999974,-78176.5111,-139995.37270000007,-27396.65049999999,-72044.55599999987,-48859.346000000136,-178957.54300000006,183669.1170000001,236469.95909999998,51685.024399999995,-48218.849699999904,-192977.34580000013
2020-06-01,593057.4121,-121337.61490000004,5089.010899999994,-26733.391599999974,-78176.5111,-139995.37270000007,-27396.65049999999,-72044.55599999987,-48859.346000000136,-178957.54300000006,183669.1170000001,236469.95909999998,51685.024399999995,-48218.849699999904
2020-05-01,585764.4517,-7292.960399999982,-121337.61490000004,5089.010899999994,-26733.391599999974,-78176.5111,-139995.37270000007,-27396.65049999999,-72044.55599999987,-48859.346000000136,-178957.54300000006,183669.1170000001,236469.95909999998,51685.024399999995
2020-04-01,67956.44697,-517808.00473,-7292.960399999982,-121337.61490000004,5089.010899999994,-26733.391599999974,-78176.5111,-139995.37270000007,-27396.65049999999,-72044.55599999987,-48859.346000000136,-178957.54300000006,183669.1170000001,236469.95909999998
2020-03-01,791106.2859,723149.83893,-517808.00473,-7292.960399999982,-121337.61490000004,5089.010899999994,-26733.391599999974,-78176.5111,-139995.37270000007,-27396.65049999999,-72044.55599999987,-48859.346000000136,-178957.54300000006,183669.1170000001
2020-02-01,998850.207,207743.92110000004,723149.83893,-517808.00473,-7292.960399999982,-121337.61490000004,5089.010899999994,-26733.391599999974,-78176.5111,-139995.37270000007,-27396.65049999999,-72044.55599999987,-48859.346000000136,-178957.54300000006
2020-01-01,1054080.856,55230.64899999986,207743.92110000004,723149.83893,-517808.00473,-7292.960399999982,-121337.61490000004,5089.010899999994,-26733.391599999974,-78176.5111,-139995.37270000007,-27396.65049999999,-72044.55599999987,-48859.346000000136
2019-12-01,622351.4437,-431729.41229999997,55230.64899999986,207743.92110000004,723149.83893,-517808.00473,-7292.960399999982,-121337.61490000004,5089.010899999994,-26733.391599999974,-78176.5111,-139995.37270000007,-27396.65049999999,-72044.55599999987
2019-11-01,765479.8723,143128.4286000001,-431729.41229999997,55230.64899999986,207743.92110000004,723149.83893,-517808.00473,-7292.960399999982,-121337.61490000004,5089.010899999994,-26733.391599999974,-78176.5111,-139995.37270000007,-27396.65049999999
2019-10-01,774699.7511,9219.878799999948,143128.4286000001,-431729.41229999997,55230.64899999986,207743.92110000004,723149.83893,-517808.00473,-7292.960399999982,-121337.61490000004,5089.010899999994,-26733.391599999974,-78176.5111,-139995.37270000007
2019-09-01,533027.68,-241672.07109999994,9219.878799999948,143128.4286000001,-431729.41229999997,55230.64899999986,207743.92110000004,723149.83893,-517808.00473,-7292.960399999982,-121337.61490000004,5089.010899999994,-26733.391599999974,-78176.5111
2019-08-01,506588.6,-26439.080000000075,-241672.07109999994,9219.878799999948,143128.4286000001,-431729.41229999997,55230.64899999986,207743.92110000004,723149.83893,-517808.00473,-7292.960399999982,-121337.61490000004,5089.010899999994,-26733.391599999974
2019-07-01,671338.6674,164750.06740000006,-26439.080000000075,-241672.07109999994,9219.878799999948,143128.4286000001,-431729.41229999997,55230.64899999986,207743.92110000004,723149.83893,-517808.00473,-7292.960399999982,-121337.61490000004,5089.010899999994
2019-06-01,533175.0,-138163.66740000003,164750.06740000006,-26439.080000000075,-241672.07109999994,9219.878799999948,143128.4286000001,-431729.41229999997,55230.64899999986,207743.92110000004,723149.83893,-517808.00473,-7292.960399999982,-121337.61490000004
2019-05-01,771498.0,238323.0,-138163.66740000003,164750.06740000006,-26439.080000000075,-241672.07109999994,9219.878799999948,143128.4286000001,-431729.41229999997,55230.64899999986,207743.92110000004,723149.83893,-517808.00473,-7292.960399999982
2019-04-01,770708.0,-790.0,238323.0,-138163.66740000003,164750.06740000006,-26439.080000000075,-241672.07109999994,9219.878799999948,143128.4286000001,-431729.41229999997,55230.64899999986,207743.92110000004,723149.83893,-517808.00473
2019-03-01,675619.0,-95089.0,-790.0,238323.0,-138163.66740000003,164750.06740000006,-26439.080000000075,-241672.07109999994,9219.878799999948,143128.4286000001,-431729.41229999997,55230.64899999986,207743.92110000004,723149.83893
2019-02-01,652993.0,-22626.0,-95089.0,-790.0,238323.0,-138163.66740000003,164750.06740000006,-26439.080000000075,-241672.07109999994,9219.878799999948,143128.4286000001,-431729.41229999997,55230.64899999986,207743.92110000004
2019-01-01,773949.0,120956.0,-22626.0,-95089.0,-790.0,238323.0,-138163.66740000003,164750.06740000006,-26439.080000000075,-241672.07109999994,9219.878799999948,143128.4286000001,-431729.41229999997,55230.64899999986
2018-12-01,499945.0677,-274003.9323,120956.0,-22626.0,-95089.0,-790.0,238323.0,-138163.66740000003,164750.06740000006,-26439.080000000075,-241672.07109999994,9219.878799999948,143128.4286000001,-431729.41229999997
2018-11-01,586954.6024,87009.53469999996,-274003.9323,120956.0,-22626.0,-95089.0,-790.0,238323.0,-138163.66740000003,164750.06740000006,-26439.080000000075,-241672.07109999994,9219.878799999948,143128.4286000001
