,date,sales
186,2021-12-01,1484517.218
5130,2021-11-01,1201275.354
5129,2021-10-01,1282952.27
5128,2021-09-01,1186563.472
5127,2021-08-01,1050841.482
5126,2021-07-01,857864.1362
5125,2021-06-01,809645.2865
5124,2021-05-01,861330.3109
5123,2021-04-01,1097800.27
5122,2021-03-01,1281469.387
5121,2021-02-01,1102511.844
5120,2021-01-01,1053652.498
5119,2020-12-01,981607.942
5118,2020-11-01,954211.2915
5117,2020-10-01,814215.9188
5116,2020-09-01,736039.4077
5115,2020-08-01,709306.0161
5114,2020-07-01,714395.027
5113,2020-06-01,593057.4121
5112,2020-05-01,585764.4517
5111,2020-04-01,67956.44697
5110,2020-03-01,791106.2859
5109,2020-02-01,998850.207
5108,2020-01-01,1054080.856
5107,2019-12-01,622351.4437
5106,2019-11-01,765479.8723
5105,2019-10-01,774699.7511
5104,2019-09-01,533027.68
5103,2019-08-01,506588.6
5102,2019-07-01,671338.6674
5101,2019-06-01,533175.0
5100,2019-05-01,771498.0
5099,2019-04-01,770708.0
5098,2019-03-01,675619.0
5097,2019-02-01,652993.0
5096,2019-01-01,773949.0
5095,2018-12-01,499945.0677
5094,2018-11-01,586954.6024
5093,2018-10-01,547741.9518
5092,2018-09-01,467763.8645
5091,2018-08-01,411375.7743
5090,2018-07-01,462984.9687
5089,2018-06-01,521928.6232
5088,2018-05-01,463287.4331
5087,2018-04-01,471527.5722
5086,2018-03-01,352858.6627
5085,2018-02-01,252805.2276
5084,2018-01-01,238942.5951
5083,2017-12-01,373181.8691
5082,2017-11-01,436224.5837
5081,2017-10-01,372819.1454
5080,2017-09-01,463291.7098
5079,2017-08-01,472566.9528
5078,2017-07-01,408790.8441
5077,2017-06-01,363674.8954
5076,2017-05-01,384335.6631
5075,2017-04-01,287313.3582
5074,2017-03-01,448603.6582
5073,2017-02-01,278383.1018
5072,2017-01-01,434595.5788
